"county","precinct","office","district","party","candidate","votes"
"Monroe","Leg. Dist. 27 14","President",,,"Total votes",324
"Monroe","Leg. Dist. 27 15","President",,,"Total votes",390
"Monroe","Leg. Dist. 27 16","President",,,"Total votes",409
"Monroe","Leg. Dist. 27 17","President",,,"Total votes",494
"Monroe","Leg. Dist. 27 18","President",,,"Total votes",442
"Monroe","Leg. Dist. 27 19","President",,,"Total votes",449
"Monroe","Leg. Dist. 27 20","President",,,"Total votes",291
"Monroe","Leg. Dist. 27 21","President",,,"Total votes",216
"Monroe","Leg. Dist. 27 22","President",,,"Total votes",349
"Monroe","Leg. Dist. 27 23","President",,,"Total votes",275
"Monroe","Leg. Dist. 27 25","President",,,"Total votes",182
"Monroe","Leg. Dist. 27 26","President",,,"Total votes",244
"Monroe","Leg. Dist. 28 1","President",,,"Total votes",355
"Monroe","Leg. Dist. 28 2","President",,,"Total votes",235
"Monroe","Leg. Dist. 28 3","President",,,"Total votes",234
"Monroe","Leg. Dist. 28 4","President",,,"Total votes",221
"Monroe","Leg. Dist. 28 5","President",,,"Total votes",206
"Monroe","Leg. Dist. 28 6","President",,,"Total votes",447
"Monroe","Leg. Dist. 28 7","President",,,"Total votes",560
"Monroe","Leg. Dist. 28 8","President",,,"Total votes",312
"Monroe","Leg. Dist. 28 9","President",,,"Total votes",353
"Monroe","Leg. Dist. 28 10","President",,,"Total votes",145
"Monroe","Leg. Dist. 28 11","President",,,"Total votes",289
"Monroe","Leg. Dist. 28 12","President",,,"Total votes",203
"Monroe","Leg. Dist. 28 13","President",,,"Total votes",345
"Monroe","Leg. Dist. 28 14","President",,,"Total votes",348
"Monroe","Leg. Dist. 28 15","President",,,"Total votes",151
"Monroe","Leg. Dist. 28 16","President",,,"Total votes",289
"Monroe","Leg. Dist. 28 17","President",,,"Total votes",57
"Monroe","Leg. Dist. 28 18","President",,,"Total votes",314
"Monroe","Leg. Dist. 28 20","President",,,"Total votes",454
"Monroe","Leg. Dist. 28 21","President",,,"Total votes",406
"Monroe","Leg. Dist. 28 22","President",,,"Total votes",202
"Monroe","Leg. Dist. 29 1","President",,,"Total votes",53
"Monroe","Leg. Dist. 29 2","President",,,"Total votes",154
"Monroe","Leg. Dist. 29 3","President",,,"Total votes",18
"Monroe","Leg. Dist. 29 4","President",,,"Total votes",379
"Monroe","Leg. Dist. 29 5","President",,,"Total votes",398
"Monroe","Leg. Dist. 29 6","President",,,"Total votes",253
"Monroe","Leg. Dist. 29 7","President",,,"Total votes",244
"Monroe","Leg. Dist. 29 8","President",,,"Total votes",104
"Monroe","Leg. Dist. 29 9","President",,,"Total votes",557
"Monroe","Leg. Dist. 29 10","President",,,"Total votes",496
"Monroe","Leg. Dist. 29 11","President",,,"Total votes",335
"Monroe","Leg. Dist. 29 12","President",,,"Total votes",431
"Monroe","Leg. Dist. 29 13","President",,,"Total votes",277
"Monroe","Leg. Dist. 29 14","President",,,"Total votes",132
"Monroe","Leg. Dist. 29 15","President",,,"Total votes",389
"Monroe","Leg. Dist. 29 16","President",,,"Total votes",145
