Leg. Dist. 07,,,,,,,,,,,,
"",1,511,356,67,15,15,20,8,8,11,7,4
Brighton,,,,,,,,,,,,
"",2,325,157,105,20,9,10,8,6,5,3,2
"",3,434,265,107,15,3,16,10,3,5,6,4
"",4,437,285,68,11,8,23,13,8,7,9,5
"",5,446,320,63,5,7,20,6,6,6,10,3
"",6,599,373,143,18,13,18,4,5,11,6,8
"",7,390,235,87,12,15,13,12,3,5,7,1
"",8,456,250,151,14,4,5,9,4,7,9,3
"",9,407,266,67,18,6,13,8,6,15,6,2
"",10,487,340,93,11,3,4,9,5,8,10,4
"",11,525,316,107,22,13,11,19,11,9,8,9
"",12,552,382,89,16,8,19,10,11,6,7,4
"",13,297,189,56,9,8,11,5,3,5,8,3
"",14,368,260,50,6,7,11,14,7,8,4,1
"",15,374,224,80,14,9,17,11,4,5,5,5
"",16,300,155,102,14,1,0,9,3,7,5,4
"",17,258,200,39,3,1,3,2,2,4,1,3
"",18,422,290,67,7,11,14,11,11,2,5,4
"",19,280,183,39,17,5,11,8,6,6,4,1
"",20,355,230,58,20,10,15,6,4,6,4,2
"",21,387,243,74,13,10,15,7,10,2,9,4
"",22,445,280,92,15,4,11,2,9,8,15,9
"",23,330,235,54,11,5,9,5,0,4,5,2
"",24,477,296,108,25,7,14,11,2,5,5,4
Brighton,,,,,,,,,,,,
"",25,342,220,59,10,7,19,7,5,6,5,4
"",26,352,198,93,14,7,11,4,3,5,13,4
"",27,332,217,72,11,5,7,4,5,6,4,1
"",28,570,366,119,14,11,21,15,5,4,11,4
"",29,344,194,114,11,2,3,3,1,5,7,4
"",30,788,573,122,14,14,17,13,9,7,9,10
"",31,371,256,59,7,5,16,10,6,5,2,5
"",32,475,313,79,13,2,20,10,9,9,13,7
"",33,466,305,90,12,8,17,5,4,4,15,6
"",34,429,260,89,21,9,13,4,11,10,7,5
"",35,393,263,72,14,13,14,6,1,3,2,5
"",36,408,263,66,14,15,6,14,7,13,7,3
"",37,327,217,58,8,6,11,12,5,4,5,1
"",38,472,296,99,9,11,12,14,9,4,10,8
"",39,358,219,72,16,6,10,9,5,9,8,4
"",40,711,499,123,22,8,16,13,9,9,5,7
"",41,627,402,142,18,11,11,12,8,12,7,4
"",42,143,89,23,11,1,7,5,2,1,2,2
"",43,480,308,105,17,6,5,15,5,7,8,4
"",44,175,108,41,7,5,6,4,3,1,0,0
"",45,332,198,90,11,6,8,9,1,2,5,2
"",46,254,181,47,4,1,4,4,2,2,4,5
Brighton,,"19,011","12,275","3,800",609,341,557,399,252,285,307,186
Chili,,,,,,,,,,,,
"",1,342,134,142,22,1,8,11,4,5,11,4
"",2,526,140,279,50,12,9,18,1,9,3,5
"",3,519,206,210,41,8,8,15,8,7,9,7
"",4,346,126,154,28,1,6,9,4,6,7,5
"",5,424,192,162,30,6,5,6,1,8,6,8
"",6,443,159,198,36,2,10,11,6,8,9,4
"",7,271,133,95,16,1,6,8,3,4,0,5
"",8,458,169,209,38,8,5,14,2,1,6,6
"",9,437,174,177,37,8,10,13,5,5,4,4
"",10,309,92,120,37,5,10,21,2,7,12,3
"",11,473,174,220,26,5,7,20,3,8,5,5
"",12,443,189,170,30,5,11,13,2,8,11,4
"",13,631,226,303,44,16,5,16,3,2,10,6
"",14,442,161,185,45,4,11,20,1,5,4,6
"",15,374,146,152,36,6,0,15,3,7,5,4
"",16,842,320,383,74,10,6,19,5,7,15,3
"",17,"1,027",385,478,76,7,15,30,8,5,10,13
"",18,489,163,243,32,6,4,16,3,9,7,6
"",19,415,196,170,25,4,5,7,2,2,1,3
"",20,600,283,210,38,7,14,16,3,10,15,4
"",21,302,130,122,17,4,7,6,1,2,6,7
Chili,,,,,,,,,,,,
"",22,512,275,161,31,9,10,8,3,8,5,2
"",23,349,128,155,31,4,8,15,0,1,4,3
"",24,935,434,357,66,5,13,34,6,12,6,2
"",25,386,219,112,17,5,8,5,7,8,5,0
"",26,585,191,279,56,8,9,16,4,11,9,2
"",27,417,164,166,34,7,5,20,3,9,7,2
"",28,362,170,125,26,6,9,12,1,3,5,5
"",29,285,115,108,21,4,7,11,0,6,8,5
"",30,309,132,117,26,9,3,10,2,8,0,2
"",31,430,206,163,22,8,11,4,6,4,2,4
"",32,496,181,225,41,9,6,9,6,11,3,5
Chili,,"15,179","6,113","6,350","1,149",200,251,448,108,206,210,144
Clarkson,,,,,,,,,,,,
"",1,641,166,347,69,8,7,22,0,8,9,5
"",2,88,22,51,9,3,0,1,1,0,0,1
"",3,497,190,223,36,9,9,11,1,3,8,7
"",4,717,186,403,76,4,6,18,4,8,8,4
"",5,989,314,445,103,18,15,42,9,23,16,4
"",6,403,124,196,39,5,4,15,4,4,9,3
Clarkson,,"3,335","1,002","1,665",332,47,41,109,19,46,50,24
East Rochester,,,,,,,,,,,,
"",1,489,232,186,23,12,3,16,4,5,4,4
East Rochester,,,,,,,,,,,,
"",2,402,197,138,20,8,8,11,1,9,6,4
"",3,372,176,124,27,8,6,16,3,4,4,4
"",4,369,171,133,13,7,8,18,2,7,3,7
"",5,365,171,107,32,11,8,16,2,6,7,5
"",6,436,226,145,23,6,4,9,5,4,5,9
"",7,385,162,135,25,5,15,22,5,10,3,3
East Rochester,,"2,818","1,335",968,163,57,52,108,22,45,32,36
Gates,,,,,,,,,,,,
"",1,271,128,80,23,5,11,14,5,1,2,2
"",2,359,184,129,18,4,8,7,0,4,2,3
"",3,385,169,151,29,10,9,5,3,3,2,4
"",4,411,184,178,30,1,5,5,1,3,3,1
"",5,442,212,171,26,2,7,10,2,2,5,5
"",6,433,238,130,19,6,7,11,2,3,10,7
"",7,816,316,382,50,6,10,22,6,8,7,9
"",8,306,140,131,17,1,4,4,0,1,3,5
"",9,469,224,181,19,8,8,9,3,7,4,6
"",10,234,130,70,19,2,2,4,2,2,1,2
"",11,302,145,112,19,2,3,9,2,5,3,2
"",12,282,138,102,12,8,8,6,1,3,3,1
"",13,446,189,192,31,5,7,10,1,3,3,5
"",14,327,146,129,22,8,4,8,0,4,2,4
"",15,648,308,265,33,7,10,10,1,5,5,4
"",16,316,162,120,16,3,3,6,0,3,3,0
"",17,403,192,157,25,4,2,11,1,4,2,5
"",18,455,162,229,34,5,4,7,1,5,4,4
"",19,364,158,157,22,4,4,7,2,5,3,2
"",20,364,150,151,26,4,6,10,3,4,6,4
"",21,351,148,157,18,4,9,8,1,1,4,1
"",22,300,125,111,29,7,4,7,2,5,6,4
"",23,378,153,157,27,6,6,8,0,10,9,2
Gates,,,,,,,,,,,,
"",24,677,323,247,40,6,15,17,0,8,4,17
"",25,338,146,143,21,6,6,4,2,5,4,1
"",26,493,163,243,40,8,7,15,3,9,4,1
"",27,526,239,219,29,9,9,12,2,1,5,1
"",28,327,136,132,23,3,8,10,2,4,5,4
"",29,395,174,140,23,16,5,20,5,2,7,3
"",30,256,120,100,15,4,5,7,0,3,0,2
"",31,322,125,143,21,4,8,7,1,8,1,4
"",32,424,190,177,23,7,6,6,0,6,6,3
"",33,207,119,67,3,4,2,5,1,4,1,1
"",34,369,151,167,18,3,7,11,2,4,2,4
"",35,273,122,115,17,1,3,8,2,2,0,3
Gates,,"13,669","6,109","5,535",837,183,222,320,59,147,131,126
Greece,,,,,,,,,,,,
"",1,362,125,167,38,1,8,7,3,8,3,2
"",2,461,137,242,45,5,12,8,4,1,5,2
"",3,344,131,159,20,6,5,13,0,0,7,3
"",4,335,138,147,27,7,2,2,0,5,2,5
"",5,297,129,121,14,4,5,14,0,5,4,1
"",6,327,136,129,23,11,4,9,2,3,4,6
"",7,437,174,189,27,10,11,12,1,4,4,5
"",8,395,167,151,31,5,7,20,5,4,3,2
Greece,,,,,,,,,,,,
"",9,405,187,139,30,8,11,13,1,4,4,8
"",10,361,148,145,25,9,12,16,1,1,3,1
"",11,200,85,83,8,6,3,6,2,4,2,1
"",12,267,113,110,15,8,4,8,2,4,2,1
"",13,332,150,132,22,5,4,9,2,4,3,1
"",14,287,128,109,25,4,5,8,2,3,2,1
"",15,354,129,157,31,2,8,16,2,4,4,1
"",16,279,107,125,19,4,8,6,2,4,2,2
"",17,527,190,268,34,5,4,8,1,5,9,3
"",18,457,181,198,32,8,7,13,3,9,5,1
"",19,342,143,141,21,8,9,4,2,6,4,4
"",20,386,153,147,37,7,10,14,5,5,6,2
"",21,359,120,156,41,9,7,15,1,2,4,4
"",22,324,147,130,23,5,7,8,0,2,0,2
"",23,571,261,214,29,4,14,14,4,11,10,10
"",24,555,190,276,44,7,7,12,3,3,4,9
"",25,384,165,142,27,12,13,8,6,3,5,3
"",26,290,122,113,18,6,5,12,0,4,7,3
"",27,669,312,263,38,3,10,17,4,6,6,10
"",28,525,178,266,37,7,6,15,5,2,5,4
"",29,407,161,175,31,3,7,13,2,7,4,4
"",30,294,120,115,24,3,3,11,5,7,2,4
"",31,325,139,141,21,5,5,4,1,3,3,3
Greece,,,,,,,,,,,,
"",32,405,185,149,28,4,8,14,2,6,9,0
"",33,521,179,247,53,5,5,10,4,4,6,8
"",34,431,138,205,43,4,12,16,2,4,3,4
"",35,391,148,179,28,7,11,10,1,3,0,4
"",36,574,228,261,41,11,11,10,4,1,4,3
"",37,279,105,125,32,5,2,5,1,0,3,1
"",38,594,239,269,47,9,5,9,5,6,3,2
"",39,286,114,131,27,3,0,3,0,0,5,3
"",40,361,158,135,18,8,5,14,4,7,10,2
"",41,464,199,200,28,2,9,12,4,6,1,3
"",42,377,174,142,32,4,4,7,5,1,6,2
"",43,439,142,202,51,4,9,14,2,6,6,3
"",44,580,205,267,45,3,10,19,6,8,8,9
"",45,689,207,370,57,10,6,17,3,6,10,3
"",46,304,151,109,21,2,6,7,2,3,2,1
"",47,411,168,162,37,4,8,11,3,5,12,1
"",48,302,119,130,21,4,1,15,1,4,3,4
"",49,294,117,144,17,1,4,7,1,1,2,0
"",50,388,169,154,34,3,3,10,1,3,6,5
"",51,268,111,124,12,2,2,9,0,2,2,4
"",52,532,199,240,45,7,8,10,5,8,1,9
"",53,444,265,133,22,2,8,4,0,5,3,2
"",54,488,185,224,41,3,5,9,3,9,5,4
Greece,,,,,,,,,,,,
"",55,316,125,135,35,2,2,5,1,1,2,8
"",56,490,200,208,31,8,8,18,6,3,5,3
"",57,420,152,204,33,4,8,10,3,2,2,2
"",58,530,214,234,41,7,6,14,4,4,3,3
"",59,365,236,66,24,8,11,6,4,3,4,3
"",60,368,159,165,22,7,3,4,1,3,2,2
"",61,437,200,171,28,3,9,7,3,13,1,2
"",62,540,238,218,37,6,10,9,6,2,7,7
"",63,477,213,181,35,11,9,13,5,5,2,3
"",64,347,146,161,20,3,0,7,3,3,3,1
"",65,385,185,151,15,2,7,10,2,3,2,8
"",66,234,85,110,22,1,2,8,0,4,1,1
"",67,379,129,172,34,5,10,11,3,7,3,5
"",68,491,165,238,39,6,6,10,3,14,4,6
"",69,276,97,121,29,3,4,10,0,6,4,2
"",70,"1,126",381,589,87,11,6,17,3,14,8,10
"",71,517,200,238,34,8,7,19,2,1,5,3
"",72,600,239,264,51,4,4,18,2,6,6,6
"",73,266,106,114,22,2,5,6,1,6,3,1
"",74,438,229,141,21,11,5,16,3,3,0,9
"",75,353,132,160,24,7,8,11,2,5,2,2
"",76,327,92,191,27,1,6,6,1,2,1,0
"",77,480,229,199,25,4,7,4,2,3,3,4
Greece,,,,,,,,,,,,
"",78,310,112,150,25,3,9,4,1,1,3,2
"",79,788,303,362,70,2,7,17,4,10,8,5
"",80,548,182,285,46,3,6,9,3,5,3,6
"",81,269,103,136,10,1,6,8,0,3,2,0
"",82,514,266,163,32,17,8,9,3,8,5,3
"",83,278,145,102,19,1,0,2,3,2,2,2
"",84,503,219,218,38,6,3,9,2,3,4,1
"",85,532,207,231,53,7,11,14,1,3,0,5
"",86,517,214,238,35,0,0,5,1,6,13,5
"",87,381,176,154,20,3,8,6,1,10,1,2
"",88,425,177,180,37,2,5,6,0,5,6,7
"",89,351,140,165,26,1,4,8,1,3,1,2
"",90,535,166,266,58,4,7,15,6,6,3,4
"",91,735,276,346,53,10,4,19,4,7,9,7
"",92,688,323,262,57,11,5,15,2,6,2,5
"",93,591,282,231,36,6,9,13,0,4,5,5
"",94,484,188,213,36,9,8,14,4,4,5,3
"",95,326,157,132,10,8,2,7,4,3,2,1
"",96,538,247,199,33,9,10,17,4,10,6,3
"",97,744,280,349,52,9,8,19,1,5,10,11
"",98,764,318,335,46,7,17,19,4,5,4,9
"",99,485,138,262,47,3,6,12,3,5,4,5
"",100,653,242,323,47,5,11,10,2,5,3,5
Greece,,,,,,,,,,,,
"",101,283,87,152,26,3,3,10,0,0,1,1
"",102,674,225,328,53,5,10,20,2,11,8,12
"",103,503,196,228,34,2,8,13,3,9,6,4
"",104,357,148,154,30,6,6,6,0,0,3,4
"",105,569,209,262,44,1,6,15,5,7,7,13
"",106,413,133,213,36,6,5,10,1,2,3,4
"",107,344,107,192,26,3,5,5,2,2,1,1
"",108,353,119,186,25,2,3,7,2,3,4,2
"",109,617,239,305,39,8,5,8,1,4,3,5
Greece,,"47,914","19,147","21,105","3,572",581,713,"1,167",260,501,448,420
Hamlin,,,,,,,,,,,,
"",1,453,147,205,53,4,10,22,0,6,3,3
"",2,474,111,263,46,7,8,15,4,9,6,5
"",3,483,108,258,59,6,8,17,8,8,5,6
"",4,341,71,200,37,7,6,10,2,5,1,2
"",5,427,108,235,48,4,4,14,3,6,2,3
"",6,371,131,186,31,5,5,7,0,1,2,3
"",7,547,154,300,53,3,10,10,5,7,2,3
"",8,331,91,182,34,5,1,9,2,4,2,1
"",9,283,85,157,19,1,5,8,0,4,4,0
"",10,509,136,272,47,8,7,20,4,10,1,4
Hamlin,,"4,219","1,142","2,258",427,50,64,132,28,60,28,30
Henrietta,,,,,,,,,,,,
"",1,533,225,210,34,7,12,13,8,12,0,12
"",2,422,179,178,25,6,10,9,1,10,3,1
"",3,320,196,62,14,13,4,9,6,11,4,1
"",4,509,310,124,12,9,11,9,4,11,12,7
"",5,459,207,173,37,7,6,17,2,4,4,2
"",6,435,177,166,39,9,12,10,6,7,5,4
"",7,355,173,122,31,7,2,6,4,5,2,3
