Leg. Dist. 07,,,,,,,,,,
"",11,200,50,109,12,4,5,2,0,18
"",12,266,68,139,22,7,14,1,0,15
"",13,332,69,190,32,0,24,1,0,16
"",14,287,74,153,27,6,15,3,0,9
"",15,354,64,219,36,3,19,0,1,12
"",16,278,49,169,22,4,20,2,0,12
"",17,526,105,335,39,6,21,3,1,16
"",18,457,101,266,36,11,19,6,0,18
"",19,342,79,183,25,13,19,1,0,22
"",20,385,99,184,45,10,22,4,0,21
"",21,358,71,184,47,11,27,1,0,17
"",22,323,80,182,23,13,11,1,0,13
"",23,570,140,312,41,7,27,3,1,39
"",24,553,91,342,47,11,34,2,0,26
"",25,383,109,188,35,12,20,2,0,17
"",26,290,79,138,26,9,16,0,0,22
"",27,669,157,352,61,7,30,3,0,59
"",28,524,81,329,47,8,27,2,0,30
"",29,407,107,219,40,5,18,1,0,17
"",30,294,64,153,23,8,21,0,0,25
"",31,325,81,184,31,5,10,2,0,12
"",32,405,125,181,41,8,24,3,0,23
"",33,520,75,318,61,9,27,0,0,30
"",34,430,82,234,53,9,25,1,0,26
"",35,391,73,214,48,12,17,2,0,25
"",36,573,114,344,45,12,15,4,0,39
"",37,279,47,160,39,6,12,1,0,14
"",38,594,145,318,52,17,30,0,0,32
"",39,286,73,160,31,1,12,0,0,9
"",40,361,91,175,32,6,23,3,0,31
"",41,464,89,269,45,15,25,2,0,19
"",42,375,101,193,31,5,24,1,0,20
"",43,435,69,262,59,8,17,1,0,19
Greece,,,,,,,,,,
"",44,580,106,352,44,10,29,3,0,36
"",45,689,117,430,66,7,29,3,1,36
"",46,304,92,130,37,7,18,3,0,17
"",47,410,95,216,43,9,22,6,1,18
"",48,302,50,187,26,1,11,0,0,27
"",49,293,60,183,21,3,14,0,0,12
"",50,387,75,218,51,3,21,1,1,17
"",51,264,59,162,20,1,12,1,0,9
"",52,532,114,302,55,11,29,4,1,16
"",53,443,176,180,30,8,19,1,0,29
"",54,487,87,300,47,3,22,2,0,26
"",55,314,66,176,45,3,11,1,0,12
"",56,489,106,277,43,8,27,4,0,24
"",57,420,101,244,35,4,11,2,0,23
"",58,530,107,307,47,11,28,3,0,27
"",59,364,152,120,24,10,22,4,0,32
"",60,367,92,192,33,6,22,3,0,19
"",61,436,110,232,35,6,22,2,1,28
"",62,540,147,278,51,7,23,0,0,34
"",63,476,121,247,46,16,23,3,0,20
"",64,346,72,215,22,3,14,2,1,17
"",65,385,85,244,20,3,9,2,0,22
"",66,234,58,135,20,5,10,0,0,6
"",67,373,71,234,39,6,11,4,0,8
"",68,491,104,287,53,8,21,1,0,17
"",69,276,50,161,36,3,11,1,1,13
"",70,"1,122",202,715,101,11,44,3,1,45
"",71,517,104,294,55,5,19,0,0,40
"",72,599,115,365,63,3,16,3,0,34
"",73,266,75,134,28,10,9,0,0,10
