Leg. Dist. 07,,,,,,,,,,,
"",20,291,251,9,0,11,1,6,0,0,13
"",21,216,181,11,4,9,3,3,0,1,4
"",22,349,223,65,8,13,7,4,4,1,24
"",23,275,234,9,2,10,3,3,0,0,14
"",25,182,111,37,8,9,4,2,0,1,10
"",26,244,156,51,5,9,8,5,0,0,10
Leg. Dist. 27,,"9,801","7,817",801,169,389,93,125,27,7,373
Leg. Dist. 28,,,,,,,,,,,
"",1,355,254,40,12,19,3,5,0,0,22
"",2,235,166,27,13,11,1,1,1,0,15
"",3,234,199,19,1,4,3,4,0,0,4
"",4,221,148,34,5,8,3,2,0,0,21
"",5,206,129,44,5,15,1,4,0,0,8
"",6,447,322,67,12,14,7,10,2,0,13
"",7,560,382,90,15,23,13,4,1,0,32
"",8,312,252,23,6,7,2,2,0,0,20
"",9,353,238,63,13,12,6,8,0,0,13
"",10,145,103,16,4,4,0,4,3,0,11
"",11,289,211,33,4,11,1,5,0,0,24
"",12,203,150,21,6,7,3,2,0,1,13
"",13,345,239,45,7,8,5,9,0,1,31
"",14,348,263,29,11,19,7,2,3,0,14
"",15,151,109,18,1,6,1,3,1,0,12
"",16,289,188,42,7,11,5,8,2,1,25
"",17,57,40,9,4,1,0,0,0,0,3
"",18,314,227,43,5,14,4,3,1,0,17
Leg. Dist. 28,,,,,,,,,,,
"",20,454,313,63,11,18,13,9,1,0,26
"",21,406,281,46,15,25,4,7,5,0,23
"",22,202,158,16,4,8,1,3,0,0,12
Leg. Dist. 28,,"6,126","4,372",788,161,245,83,95,20,3,359
Leg. Dist. 29,,,,,,,,,,,
"",1,53,44,4,0,2,1,1,0,0,1
"",2,154,115,14,2,8,0,5,0,0,10
"",3,18,16,1,0,0,0,0,0,0,1
"",4,379,254,67,10,12,8,8,1,0,19
"",5,398,297,45,9,12,2,5,3,0,25
"",6,253,186,40,3,5,1,8,1,0,9
"",7,244,151,51,12,12,5,4,1,0,8
"",8,104,74,13,1,3,4,3,0,0,6
"",9,557,392,79,6,14,5,6,2,1,52
"",10,496,406,35,10,13,3,4,2,0,23
"",11,335,229,56,8,12,7,7,3,0,13
"",12,431,342,40,12,9,5,9,1,0,13
"",13,277,234,8,1,8,2,4,0,0,20
"",14,132,87,18,5,10,2,4,0,0,6
"",15,389,310,24,3,11,0,6,0,1,34
"",16,145,116,9,1,5,5,2,0,0,7
"",17,234,146,48,11,9,3,1,2,0,14
"",18,318,201,69,14,13,5,8,0,0,8
"",19,223,168,24,5,7,4,2,0,1,12
"",20,518,397,39,6,25,5,12,1,0,33
"",21,396,281,57,16,17,6,6,1,0,12
Leg. Dist. 29,,,,,,,,,,,
"",22,170,141,9,0,2,0,3,0,0,15
"",23,302,194,30,6,9,4,9,1,0,49
"",24,489,385,45,14,12,3,10,1,0,19
"",25/28,464,358,50,10,11,2,6,0,0,27
"",26,198,155,13,2,5,2,3,1,0,17
Leg. Dist. 29,,"7,677","5,679",888,167,246,84,136,21,3,453
CITY,,"70,299","50,784","9,115","1,746","3,086",962,"1,199",223,65,"3,119"
Brighton,,,,,,,,,,,
"",1,511,329,94,19,37,7,12,3,1,9
"",2,325,172,101,20,13,7,4,2,0,6
"",3,434,249,117,15,18,7,5,1,1,21
"",4,437,285,89,11,29,9,9,0,1,4
"",5,446,308,86,14,19,5,7,0,1,6
"",6,599,372,155,21,24,7,7,4,1,8
"",7,390,231,104,13,14,10,5,1,0,12
"",8,456,237,179,12,5,7,9,0,3,4
"",9,407,260,79,18,16,10,5,3,0,16
"",10,487,336,107,17,7,4,11,0,0,5
"",11,525,309,132,25,19,13,12,3,1,11
"",12,552,364,115,21,22,9,11,1,1,8
"",13,297,187,71,8,13,6,4,1,1,6
